].pos_y				= -2.162401 
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = -1.025250  
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = -1.575000  
=888=R=Obstacles[0].id					= 151 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = -1.100250  
=888=R=Obstacles[0].type					= 1 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = -6.581250  
=888=R=Obstacles[0].pos_y				= -6.615823 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = -3.612750  
=888=R=Obstacles[0].pos_x				= -4.380572 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = -6.562500  
=888=R=Obstacles[0].heading 				= 0.260749 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = -3.462750  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = -1.556250  
=888=R=Obstacles[0].length				= 3.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].id = 6  
=888=R=Obstacles[0].width				= 1.700000 
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 1.000000  
=888=R=Obstacles[0].id					= 152 
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = 90.000000  
=888=R=Obstacles[0].type					= 1 
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=888=R=Obstacles[0].pos_y				= -2.696504 
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=888=R=Obstacles[0].pos_x				= -3.522895 
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=888=R=Obstacles[0].heading 				= 0.260749 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = 4.168500  
=888=R=Obstacles[0].length				= 3.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = -1.575000  
=888=R=Obstacles[0].width				= 1.700000 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = 4.506000  
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = -6.581250  
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = 1.581000  
=888=R=Obstacles[0].id					= 157 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = -6.656250  
=888=R=Obstacles[0].type					= 1 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = 1.637250  
=888=R=Obstacles[0].pos_y				= -8.814359 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = -1.650000  
=888=R=Obstacles[0].pos_x				= -4.326643 
=777=cameraParkInfos.SurViewParkingSpace[i].id = 7  
=888=R=Obstacles[0].heading 				= 0.260749 
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=888=R=Obstacles[0].length				= 3.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=888=R=Obstacles[0].width				= 1.700000 
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 1.000000  
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = 90.000000  
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=888=R=Obstacles[0].id					= 158 
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=888=R=Obstacles[0].type					= 1 
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=888=R=Obstacles[0].pos_y				= 4.390151 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = 6.756000  
=888=R=Obstacles[0].pos_x				= 2.621641 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = -1.575000  
=888=R=Obstacles[0].heading 				= 0.260749 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = 7.093500  
=888=R=Obstacles[0].length				= 3.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = -6.581250  
=888=R=Obstacles[0].width				= 1.700000 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = 4.506000  
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = -6.581250  
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = 4.168500  
=888=R=Obstacles[0].id					= 160 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = -1.575000  
=888=R=Obstacles[0].type					= 1 
=777=cameraParkInfos.SurViewParkingSpace[i].id = 8  
=888=R=Obstacles[0].pos_y				= 3.584211 
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=888=R=Obstacles[0].pos_x				= 4.286803 
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=888=R=Obstacles[0].heading 				= 0.260749 
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 0.000000  
=888=R=Obstacles[0].length				= 3.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = -90.000000  
=888=R=Obstacles[0].width				= 1.700000 
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=888=R=Obstacles[0].id					= 166 
=888=R=Obstacles[0].type					= 1 
=888=R=Obstacles[0].pos_y				= -15.864878 
=888=R=Obstacles[0].pos_x				= -5.597517 
=888=R=Obstacles[0].heading 				= 0.260749 
=888=R=Obstacles[0].length				= 3.000000 
=888=R=Obstacles[0].width				= 1.700000 
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=888=R=Obstacles[0].id					= 170 
=888=R=Obstacles[0].type					= 1 
=888=R=Obstacles[0].pos_y				= 3.929796 
=888=R=Obstacles[0].pos_x				= 6.716604 
=888=R=Obstacles[0].heading 				= 0.260749 
=888=R=Obstacles[0].length				= 3.000000 
=888=R=Obstacles[0].width				= 1.700000 
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
NewDir/plan.cpp===Line: 00277: R=ObstacleGridMap[0][0]				= 3 
===NewDir/plan.cpp===Line: 00278: R=ObstacleGridMap[0][199]			= 3 
===NewDir/plan.cpp===Line: 00279: R=ObstacleGridMap[399][0]			= 1 
===NewDir/plan.cpp===Line: 00280: R=ObstacleGridMap[399][199]			= 3 
===NewDir/plan.cpp===Line: 00381: R=Latitude 	= 0.000000 
===NewDir/plan.cpp===Line: 00382: R=Longitude	= 0.000000 
===NewDir/plan.cpp===Line: 00393: R=LocalizationResult.x 		= 0.000000 
===NewDir/plan.cpp===Line: 00394: R=LocalizationResult.y 		= 0.000000 
===NewDir/plan.cpp===Line: 00443: R=sysmgtAvpCmdInfo.avp_req = 0 
===NewDir/plan.cpp===Line: 00462: R=sysmgtStatusInfo.StateAVP		= 1 
===NewDir/plan.cpp===Line: 00463: R=sysmgtStatusInfo.StateAVPLast	= 0 
===NewDir/plan.cpp===Line: 00493: R=hdmapInfo.planpath	= 0 
===NewDir/plan.cpp===Line: 00498: R=hdmapInfo.goal_x 	= 0.000000 
===NewDir/plan.cpp===Line: 00499: R=hdmapInfo.goal_y 	= 0.000000 
===NewDir/plan.cpp===Line: 00515: =2020-05-16-PathPlanner_Process_100ms===Read_PpHdMap_DeHdmapFrontPlLane===  
===NewDir/plan.cpp===Line: 00519: R=plan_seg_count			= 0 
===NewDir/plan.cpp===Line: 00632: R=hdmapLocalLaneInfo.LocalLane[0].node_count	= 0 
===NewDir/plan.cpp===Line: 00633: R=hdmapLocalLaneInfo.LocalLane[0].laneID	= 0 
===NewDir/plan.cpp===Line: 00641: R=lane_count	= 0 
===NewDir/plan.cpp===Line: 00642: R=next_seg_count		= 0 
===NewDir/plan.cpp===Line: 00652: =R=globalPathStatus.globalpath_status		= 0 
===NewDir/plan.cpp===Line: 00683: =101size=====  0
======plan.cpp===client = -1
tcp client readn error
command received...len = 0
waiting for reconnection...
NewDir/plan.cpp===Line: 01385: W=apaParkingInfo.APA_PrkgMod			= 0 
===NewDir/plan.cpp===Line: 01386: W=apaParkingInfo.APA_OrntnChgAvl		= 0 
===NewDir/plan.cpp===Line: 01387: W=apaParkingInfo.APA_CrtPrkgOrntn		= 0 
===NewDir/plan.cpp===Line: 01388: W=apaParkingInfo.APA_PrkgModChgAvl		= 0 
===NewDir/plan.cpp===Line: 01389: W=apaParkingInfo.APA_PrkgDirChgAvl		= 0 
===NewDir/plan.cpp===Line: 01390: W=apaParkingInfo.APA_UISettingModAvl	= 0 
===NewDir/plan.cpp===Line: 01391: W=apaParkingInfo.APA_PrkgDir			= 0 
===NewDir/plan.cpp===Line: 01392: W=apaParkingInfo.APA_UISettingMod		= 0 
===NewDir/plan.cpp===Line: 01393: W=apaParkingInfo.APA_PrkgSlot_1L		= 0 
===NewDir/plan.cpp===Line: 01394: W=apaParkingInfo.APA_PrkgSlot_2L		= 0 
===NewDir/plan.cpp===Line: 01395: W=apaParkingInfo.APA_PrkgSlot_3L		= 0 
===NewDir/plan.cpp===Line: 01396: W=apaParkingInfo.APA_PrkgSlot_1R		= 0 
===NewDir/plan.cpp===Line: 01397: W=apaParkingInfo.APA_PrkgSlot_2R		= 0 
===NewDir/plan.cpp===Line: 01398: W=apaParkingInfo.APA_PrkgSlot_3R		= 0 
===NewDir/plan.cpp===Line: 01399: W=apaParkingInfo.APA_PrkgSlotCoor_1L	= 0 
===NewDir/plan.cpp===Line: 01400: W=apaParkingInfo.APA_PrkgSlotCoor_2L	= 0 
===NewDir/plan.cpp===Line: 01401: W=apaParkingInfo.APA_PrkgSlotCoor_3L	= 0 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = 3.981000  
===NewDir/plan.cpp===Line: 01402: W=apaParkingInfo.APA_PrkgSlotCoor_1R	= 0 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = 4.350000  
===NewDir/plan.cpp===Line: 01403: W=apaParkingInfo.APA_PrkgSlotCoor_2R	= 0 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = 4.262250  
===NewDir/plan.cpp===Line: 01404: W=apaParkingInfo.APA_PrkgSlotCoor_3R	= 0 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = 9.356250  
===NewDir/plan.cpp===Line: 01405: W=apaParkingInfo.APA_PrkgSlotSta_1L 	= 0 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = 6.737250  
===NewDir/plan.cpp===Line: 01406: W=apaParkingInfo.APA_PrkgSlotSta_2L 	= 0 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = 9.356250  
===NewDir/plan.cpp===Line: 01407: W=apaParkingInfo.APA_PrkgSlotSta_3L 	= 0 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = 6.381000  
===NewDir/plan.cpp===Line: 01408: W=apaParkingInfo.APA_PrkgSlotSta_1R 	= 0 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = 4.350000  
===NewDir/plan.cpp===Line: 01409: W=apaParkingInfo.APA_PrkgSlotSta_2R 	= 0 
===NewDir/plan.cpp===Line: 01410: W=apaParkingInfo.APA_PrkgSlotSta_3R 	= 0 
=777==yaw			= 359.692158 
===NewDir/plan.cpp===Line: 01419: W=parkId.parking_id = 0 
=777==LocalizationResult.x		= 0.000000 
===NewDir/plan.cpp===Line: 01427: W=parkStartInfo.park_start_flag = 0 
=777==LocalizationResult.y		= 0.000000 
===NewDir/plan.cpp===Line: 01429: W=ParkingRefPos.parking_length			= 0.000000 
===NewDir/plan.cpp===Line: 01430: W=ParkingRefPos.parking_depth 			= 0.000000 
===NewDir/plan.cpp===Line: 01431: W=ParkingRefPos.parking_type			= 0 
===NewDir/plan.cpp===Line: 01432: W=ParkingRefPos.park_direction			= 0 
 =777= counts: 677
===NewDir/plan.cpp===Line: 01434: W=ParkingRefPos.start_point_x 			= 0.000000 
===NewDir/plan.cpp===Line: 01435: W=ParkingRefPos.start_point_y 			= 0.000000 
 =777= surParking_list.num = 0 
===NewDir/plan.cpp===Line: 01436: W=ParkingRefPos.start_point_heading	= 0.000000 
===NewDir/plan.cpp===Line: 01437: W=ParkingRefPos.line_fir_point_x	 	= 0.000000 
===NewDir/plan.cpp===Line: 01438: W=ParkingRefPos.line_fir_point_y	 	= 0.000000 
===NewDir/plan.cpp===Line: 01439: W=ParkingRefPos.line_sec_point_x	 	= 0.000000 
===NewDir/plan.cpp===Line: 01440: W=ParkingRefPos.line_sec_point_y	 	= 0.000000 
===NewDir/plan.cpp===Line: 01441: W=ParkingRefPos.fr_point_x	 = 0.000000 
===NewDir/plan.cpp===Line: 01442: W=ParkingRefPos.fr_point_y	 = 0.000000 
===NewDir/plan.cpp===Line: 01443: W=ParkingRefPos.rr_point_x	 = 0.000000 
===NewDir/plan.cpp===Line: 01444: W=ParkingRefPos.rr_point_y	 = 0.000000 
===NewDir/plan.cpp===Line: 01445: W=ParkingRefPos.rl_point_x	 = 0.000000 
===NewDir/plan.cpp===Line: 01446: W=ParkingRefPos.rl_point_y	 = 0.000000 
===NewDir/plan.cpp===Line: 01447: W=ParkingRefPos.fl_point_x	 = 0.000000 
===NewDir/plan.cpp===Line: 01448: W=ParkingRefPos.fl_point_y	 = 0.000000 
===NewDir/plan.cpp===Line: 01456: W=toSysMgtInfo.PathPlannerParkStartFlag 	= 0 
===NewDir/plan.cpp===Line: 01457: W=toSysMgtInfo.PathPlannerCallTerminalFlag	= 0 
===NewDir/plan.cpp===Line: 01458: W=toSysMgtInfo.no_parking					= 0 
===NewDir/plan.cpp===Line: 01459: W=toSysMgtInfo.trajectory_status			= 0 
===NewDir/plan.cpp===Line: 01460: W=toSysMgtInfo.obstacle_flag				= 0 
===NewDir/plan.cpp===Line: 01461: W=toSysMgtInfo.light						= 0 
===NewDir/plan.cpp===Line: 01462: W=toSysMgtInfo.find_park_type				= 0 
===NewDir/plan.cpp===Line: 01472: W=errorFlag.pathplanner_status	 = 0 
===NewDir/plan.cpp===Line: 01478: W==PathPlanner_Process_100ms===Write_PpPathPlanner_DePlanningFlag===	
===NewDir/plan.cpp===Line: 01482: W=planReqFlag.planning_hdmap_flag = 0 
====888===PathPlanner_Process_100ms=== 
 =777= ultparklist.num = 6 
NewDir/plan.cpp===Line: 00072: PathPlanner Version =V1.16 
===NewDir/plan.cpp===Line: 00073: PathPlannerbin Version=V36 
===NewDir/plan.cpp===Line: 00159: R=parkingPlaceInfo.park_num					= 0 
 =777=surUltParkingFusion end 
=777=parkingFusion_state = 1  
=777=ParkingFusion_runTime_ns = 388709260  
=777=W=parkingSpaceOut.park_num						= 0 
 =777=ParkingFusion_firstTime: 864894220
===NewDir/plan.cpp===Line: 00205: R=frame_index			= 81293 
===NewDir/plan.cpp===Line: 00206: R=obstacle_num 			= 17 
====888=R=Obstacles[0].id					= 6 
=888=R=Obstacles[0].type					= 1 
=777=cameraParkInfos.time_stamp = 6598779  
=777=ultParkInfos.USSC_GPSTimeStamp = 0  
=888=R=Obstacles[0].pos_y				= 0.005810 
=777=localizationInfo.time_stamp = 0  
=888=R=Obstacles[0].pos_x				= 9.872435 
=777=vehiclespeed.ESP_0x305_time_stamp = 6598760  
=888=R=Obstacles[0].heading 				= 0.033724 
=777=vehiclespeed.ESP_VehSpd = 0.000000  
=888=R=Obstacles[0].length				= 3.000000 
=777=parkInfos.park_num = 20  
=888=R=Obstacles[0].width				= 1.700000 
=777=vehicleInfo.PDCU_GearSig = 0.000000  
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=777=cameraParkInfos.parking_space_num = 8  
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].id = 1  
=888=R=Obstacles[0].id					= 15 
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=888=R=Obstacles[0].type					= 1 
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=888=R=Obstacles[0].pos_y				= -2.107721 
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 0.000000  
=888=R=Obstacles[0].pos_x				= -1.378036 
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = -90.000000  
=888=R=Obstacles[0].heading 				= 0.033724 
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=888=R=Obstacles[0].length				= 3.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=888=R=Obstacles[0].width				= 1.700000 
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=888=R=Obstacles[0].rel_speed_y 			= 0.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = 1.581000  
=888=R=Obstacles[0].rel_speed_x 			= 0.000000 
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = 4.350000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = 1.581000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = 9.375000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = 3.981000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = 9.375000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = 3.981000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = 4.350000  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 2  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = -90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = -0.669000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = 4.331250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = -0.669000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = 9.356250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = 1.581000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = 9.375000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = 1.581000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = 4.350000  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 3  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = -90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = -2.844000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = 4.331250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = -2.844000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = 9.356250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = -0.669000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = 9.356250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = -0.669000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = 4.331250  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 4  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 1.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = 90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = 1.656000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = -1.650000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = 1.581000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = -6.656250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = -1.137750  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = -6.581250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = -0.931500  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = -1.575000  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 5  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 1.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = 90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = -0.931500  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = -1.575000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = -1.100250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = -6.581250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = -3.650250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = -6.562500  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = -3.444000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = -1.556250  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 6  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 1.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = 90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = 4.149750  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = -1.575000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = 4.506000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = -6.581250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = 1.581000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = -6.656250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = 1.656000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = -1.650000  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 7  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 1.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = 90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = 6.756000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = -1.575000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = 7.168500  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = -6.581250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = 4.506000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = -6.581250  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = 4.131000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = -1.575000  
=777=cameraParkInfos.SurViewParkingSpace[i].id = 8  
=777=cameraParkInfos.SurViewParkingSpace[i].park_type = 1  
=777=cameraParkInfos.SurViewParkingSpace[i].confidence = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_direction = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].fAngle = -90.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_length = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].park_width = 0.000000  
=777=cameraParkInfos.SurViewParkingSpace[i].valid_state = 0  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].x = 3.981000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[0].y = 4.350000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].x = 3.981000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[1].y = 9.375000  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].x = 6.774750  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[2].y = 9.393750  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].x = 6.343500  
=777=cameraParkInfos.SurViewParkingSpace[i].ParkingPoint[3].y = 4.387500  
=777==yaw			= 359.692158 
=777==LocalizationResult.x		= 0.000000 
=777==LocalizationResult.y		= 0.000000 
 =777= counts: 678
 =777= surParking_list.num = 0 
 =777= ultparklist.num = 6 
 =777=surUltParkingFusion end 
=777=parkingFusion_state = 1  
=777=ParkingFusion_runTime_ns = 1710960  
=777=W=parkingSpaceOut.park_num						= 0 
 =777=ParkingFusion_firstTime: 866616900
=777=cameraParkInfos.time_stamp = 6598779  
=777=ultParkInfos.USSC_GPSTimeStamp = 0  
